빵,치즈핫도그,1인분,430
과자,치토스(매콤한맛),1봉,534
밥,카레라이스,,600
빵,카스테라,1인분,317
음료,캔커피,1캔,92
밥,캘리포니아롤,,506
빵,커스터드,1인분,240
음료,코코아,1컵,55
음료,콜라,1병,38
국,콩나물국,1인분,43
밥,콩나물국밥,,431
밥,콩나물밥,,400
밥,콩나물비빔밥,,394
밥,콩밥,1인분,367
조림,콩조림,1인분,108
빵,크라상,1인분,216
빵,크림빵,1인분,219
과일,키위,1개,54
국,토란국,1인분,74
나물,토란대무침,1인분,48
과일,토마토,1개,35
음료,토마토쥬스,1병,65
김치,파김치,1인분,58
나물,파래무침,1인분,35
빵,파운드케익,1인분,283
과일,파인애플,1개,37
전,파전,1인분,182
과자,팝콘,1봉,503
밥,팥밥,1인분,365
죽,팥죽,1인분,269
죽,팥죽(레토르트),,113
빵,팥호빵,1인분,247
빵,패스트리,1인분,321
과일,포도,1송이,160
음료,포도쥬스,1병,55
볶음,풋고추멸치볶음,1인분,134
빵,피넛버터토스트,1인분,305
빵,피자,1조각,186
빵,피칸파이,1인분,345
빵,하드롤,1인분,211
밥,하이라이스,,550
밥,한치덮밥,,458
빵,핫도그,1인분,249
빵,핫케익,1인분,173
밥,해물덮밥,,421
밥,해물도리아,,613
빵,햄버거,1인분,462
밥,현미밥,1인분,321
나물,호박나물,1인분,40
찌개,호박된장찌개,1인분,122
찌개,호박두부된장찌개,1인분,126
국,호박새우젓국,1인분,52
찜,호박잎찜,1인분,33
전,호박전,1인분,89
죽,호박죽,1인분,236
죽,호박죽(레토르트),,63
찌개,호박찌개,1인분,159
과일,홍시,1개,53
음료,환타,1병,43
밥,회덮밥,,489
빵,후렌치토스트,1인분,326
죽,흰죽,1인분,231
과일,방울토마토,1개,20
과일,귤,1개,47
과일,사과,1개,100
과일,포도잼,1큰술,30
과일,딸기잼,1큰술,63
과일,양송이버섯,10개,33
과일,밤,1알,20
과일,삶은 고구마,1개,100
튀김,고구마 튀김,1/2개,240
야채,오이,100g,19
야채,상추,5장,20
야채,생당근,100g,33
야채,데친 브로콜리,100g,43
야채,양배추,3잎,29
중식,자장면,1인분,670
중식,짬뽕,1인분,404
중식,볶음밥,1인분,692
중식,탕수육,1인분,616
일식,새우회,5마리,66
일식,굴회,1그릇,74
면,칼국수,1인분,580
면,콩국수,1인분,550
면,메밀국수,1인분,290
중식,찐만두,10개,197
빵,호빵,1개,283
분식,떡볶이,1인분,482
분식,어묵,1개,126
분식,호떡,1개,270
떡,가래떡,1토막,120
재료,치즈,1장,66
재료,아몬드,1컵,60
재료,프루츠 칵테일,1컵,96
재료,참치 통조림,1캔,544
재료,슬라이스 햄,1장,25
재료,베이컨,1장,63
죽,즉석죽,1인분,156
소스,3분카레,200g,175
소스,쇠고기 카레,200g,195
소스,오뚜기카레매운맛,100g,420
소스,오뚜기쇠고기카레,100g,420
스프,야채수프,80g,280
소스,레또쇠고기간자장,200g,215
스프,쇠고기 수프,80g,355
스프,크림수프,80g,355
소스,레또쇠고기덮밥소스,200g,130
